iter	RMSE
0	74.75024628
1	73.06744523
2	71.44015345
3	69.73931673
4	67.99587989
5	66.33527983
6	64.81755427
7	63.29790956
8	61.9735306
9	60.57460976
10	59.19260796
11	57.7831626
12	56.49993461
13	55.26436484
14	53.9823781
15	52.70676735
16	51.64245892
17	50.43818134
18	49.22607098
19	48.1487715
20	47.11435821
21	46.01161026
22	44.94784393
23	44.05163526
24	43.0875829
25	42.17217298
26	41.24716294
27	40.3090228
28	39.41067019
29	38.54201771
30	37.68536618
31	36.83583729
32	36.13621011
33	35.32344707
34	34.55804635
35	33.80697865
36	33.08020337
37	32.3713653
38	31.74087647
39	31.10413493
40	30.4791806
41	29.86713511
42	29.26663746
43	28.70320584
44	28.10946627
45	27.53550684
46	27.05139589
47	26.4490166
48	25.88952401
49	25.398595
50	24.90424642
51	24.34771534
52	23.83410891
53	23.37947869
54	22.882741
55	22.38843235
56	21.96275069
57	21.51549875
58	21.12435753
59	20.73230711
60	20.28827522
61	19.92312832
62	19.52085593
63	19.14309517
64	18.77208776
65	18.44444923
66	18.10441786
67	17.75575854
68	17.44110717
69	17.11088707
70	16.82087051
71	16.48883815
72	16.21185607
73	15.94602317
74	15.67973801
75	15.42525834
76	15.14193261
77	14.92794113
78	14.65203489
79	14.42881632
80	14.1558785
81	13.91021097
82	13.67025349
83	13.44610905
84	13.19877531
85	12.99328624
86	12.78958366
87	12.59716087
88	12.41339731
89	12.23914534
90	12.03974087
91	11.8255598
92	11.61453272
93	11.4258173
94	11.23964951
95	11.08246773
96	10.92269948
97	10.76962123
98	10.61237574
99	10.44481097
100	10.27818814
101	10.11387469
102	9.944164671
103	9.777778953
104	9.634641396
105	9.471146741
106	9.361894417
107	9.22797938
108	9.088149535
109	8.968163775
110	8.853936999
111	8.727286834
112	8.615804887
113	8.505092523
114	8.394067099
115	8.303050339
116	8.189996611
117	8.076077415
118	7.965177181
119	7.848079238
120	7.757056423
121	7.658850167
122	7.562176745
123	7.469612216
