iter	Passed	Remaining
0	0	830
1	1	797
2	2	856
3	3	926
4	4	948
5	5	938
6	6	952
7	7	912
8	8	924
9	9	953
10	10	925
11	10	898
12	11	863
13	11	835
14	12	812
15	12	790
16	13	773
17	13	761
18	14	746
19	15	751
20	16	760
21	17	763
22	18	778
23	19	780
24	19	776
25	20	773
26	21	762
27	21	753
28	22	748
29	22	738
30	23	738
31	24	730
32	24	727
33	25	719
34	25	710
35	26	703
36	26	695
37	27	688
38	27	682
39	28	676
40	28	669
41	29	664
42	29	664
43	30	662
44	31	658
45	31	658
46	32	654
47	32	650
48	33	649
49	33	645
50	34	645
51	35	641
52	35	636
53	36	632
54	36	628
55	37	624
56	37	620
57	37	616
58	38	610
59	38	606
60	39	603
61	39	597
62	40	603
63	41	599
64	41	597
65	41	594
66	42	591
67	42	588
68	43	585
69	43	583
70	44	580
71	44	578
72	45	575
73	45	573
74	46	570
75	46	568
76	47	566
77	47	564
78	48	561
79	48	559
80	49	557
81	49	555
82	50	555
83	50	553
84	51	551
85	51	549
86	52	547
87	52	545
88	53	543
89	53	541
90	54	539
91	54	538
92	55	536
93	55	535
94	56	533
95	56	531
96	56	530
97	57	528
98	57	526
99	58	525
100	58	523
101	59	522
102	59	520
103	60	519
104	60	518
105	61	518
106	61	516
107	62	515
108	62	513
109	63	512
110	63	511
111	64	509
112	64	508
113	65	507
114	65	506
115	66	505
116	66	504
117	67	503
118	67	502
119	68	501
120	68	500
121	69	499
122	69	497
123	70	498
124	70	496
125	71	495
126	71	494
127	72	493
128	72	492
129	73	491
130	73	490
131	74	489
132	74	488
133	75	488
134	76	487
135	76	486
136	76	484
137	77	483
138	77	482
139	78	481
140	78	480
141	79	479
142	79	478
143	80	477
144	80	476
145	81	476
146	81	475
147	82	474
148	82	473
149	83	473
150	83	472
151	84	471
152	84	470
153	85	469
154	85	468
155	86	467
156	86	467
157	87	466
158	87	465
159	88	464
160	88	463
161	89	462
162	89	461
163	90	461
164	91	463
165	92	463
166	93	464
167	94	466
168	94	466
169	96	468
170	96	468
171	97	468
172	97	467
173	98	466
174	99	467
175	100	468
176	100	467
177	101	466
178	101	465
179	102	464
180	102	464
181	103	463
182	103	462
183	104	461
184	104	461
185	105	460
186	105	459
187	106	458
188	106	457
189	107	457
190	107	456
191	108	456
192	108	455
193	109	454
194	109	453
195	110	452
196	110	452
197	111	452
198	112	451
199	112	450
200	113	449
201	113	448
202	114	447
203	114	447
204	115	446
205	115	445
206	116	445
207	116	444
208	117	443
209	117	442
210	118	442
211	118	441
212	119	440
213	119	439
214	120	438
215	120	437
216	121	436
217	121	436
218	122	435
219	122	434
220	122	433
221	123	432
222	123	431
223	124	431
224	124	430
225	125	429
226	125	428
227	126	427
228	126	427
229	127	426
230	127	425
231	128	424
232	128	423
233	129	422
234	129	422
235	130	421
236	130	420
237	131	419
238	132	420
239	132	419
240	133	419
241	133	419
242	134	418
243	134	417
244	135	417
245	135	416
246	136	416
247	137	415
248	137	414
249	138	414
250	138	413
251	138	412
252	139	411
253	139	410
254	140	410
255	140	409
256	141	408
257	141	407
258	142	407
259	142	406
260	143	405
261	143	404
262	144	404
263	144	403
264	145	402
265	145	401
266	146	400
267	146	400
268	146	399
269	147	398
270	147	397
271	148	397
272	148	396
273	149	396
274	149	395
275	150	394
276	150	394
277	151	393
278	152	393
279	152	392
280	153	391
281	153	390
282	153	390
283	154	389
